Elevation,Sig1,Total_S4_Sig1,Correction_total_S4_Sig1,y
11.0,40.5,0.19399999999999998,0.094,0
57.0,50.2,0.043,0.031,0
62.0,49.6,0.053,0.033,0
37.0,47.7,0.07400000000000001,0.040999999999999995,0
35.0,46.9,0.08,0.045,0
67.0,50.6,0.046,0.03,0
20.0,42.8,0.13,0.07200000000000001,0
36.0,47.1,0.069,0.044000000000000004,0
26.0,43.7,0.11599999999999999,0.065,0
42.0,47.6,0.054000000000000006,0.042,0
11.0,39.6,0.175,0.105,0
58.0,50.4,0.052000000000000005,0.03,0
63.0,49.2,0.05,0.035,0
36.0,47.8,0.087,0.040999999999999995,0
34.0,46.4,0.087,0.048,0
66.0,50.3,0.06,0.03,0
20.0,43.5,0.095,0.067,0
36.0,47.5,0.065,0.042,0
26.0,44.4,0.106,0.06,0
42.0,47.8,0.054000000000000006,0.040999999999999995,0
58.0,50.7,0.040999999999999995,0.028999999999999998,0
63.0,49.4,0.043,0.034,0
36.0,48.1,0.064,0.04,0
34.0,46.2,0.106,0.049,0
66.0,50.4,0.052000000000000005,0.03,0
20.0,43.0,0.1,0.071,0
35.0,47.0,0.066,0.044000000000000004,0
26.0,44.2,0.109,0.061,0
43.0,48.1,0.07,0.04,0
58.0,50.6,0.043,0.03,0
64.0,49.3,0.043,0.034,0
35.0,47.9,0.085,0.04,0
34.0,46.6,0.073,0.047,0
66.0,50.5,0.04,0.03,0
21.0,43.3,0.10300000000000001,0.068,0
35.0,47.0,0.061,0.045,0
27.0,44.6,0.126,0.059000000000000004,0
43.0,48.2,0.052000000000000005,0.039,0
14.0,42.6,0.152,0.07400000000000001,0
59.0,50.6,0.045,0.028999999999999998,0
64.0,49.4,0.040999999999999995,0.034,0
35.0,47.9,0.079,0.04,0
33.0,46.6,0.087,0.047,0
65.0,50.5,0.06,0.03,0
21.0,44.0,0.081,0.063,0
35.0,46.8,0.07200000000000001,0.046,0
27.0,43.4,0.151,0.067,0
43.0,48.3,0.059000000000000004,0.039,0
59.0,50.8,0.049,0.028999999999999998,0
65.0,49.3,0.043,0.034,0
34.0,47.6,0.096,0.042,0
33.0,46.3,0.09,0.048,0
65.0,50.6,0.048,0.03,0
21.0,43.4,0.129,0.068,0
35.0,47.1,0.11599999999999999,0.044000000000000004,0
27.0,43.6,0.11800000000000001,0.066,0
43.0,48.2,0.07,0.039,0
59.0,50.9,0.042,0.028999999999999998,0
65.0,49.4,0.045,0.034,0
34.0,47.2,0.083,0.044000000000000004,0
32.0,46.0,0.121,0.05,0
64.0,50.5,0.047,0.03,0
21.0,43.5,0.11199999999999999,0.067,0
35.0,47.0,0.11800000000000001,0.045,0
28.0,43.5,0.10099999999999999,0.067,0
43.0,48.4,0.063,0.038,0
16.0,43.9,0.179,0.064,0
59.0,50.6,0.042,0.028999999999999998,0
65.0,49.5,0.045,0.034,0
33.0,47.0,0.081,0.045,0
32.0,46.5,0.084,0.047,0
64.0,50.8,0.051,0.028999999999999998,0
21.0,44.5,0.095,0.059000000000000004,0
35.0,46.9,0.106,0.045,0
28.0,43.5,0.14300000000000002,0.067,0
44.0,48.6,0.052000000000000005,0.037000000000000005,0
16.0,44.2,0.107,0.062,0
60.0,50.3,0.044000000000000004,0.031,0
66.0,49.6,0.054000000000000006,0.033,0
33.0,46.6,0.095,0.047,0
